iter	Passed	Remaining
412	3628	40298
413	3636	40286
414	3645	40278
415	3654	40269
416	3663	40262
417	3671	40248
418	3680	40241
419	3689	40229
420	3697	40216
421	3705	40203
422	3714	40193
423	3723	40184
424	3731	40170
425	3740	40164
426	3749	40157
427	3758	40148
428	3766	40136
429	3775	40123
430	3783	40112
431	3792	40099
432	3800	40089
433	3809	40078
434	3818	40069
435	3826	40059
436	3835	40049
437	3844	40040
438	3852	40029
439	3861	40017
440	3870	40007
441	3878	39997
442	3887	39986
443	3895	39974
444	3904	39962
445	3912	39953
446	3921	39942
447	3930	39933
448	3938	39923
449	3947	39914
450	3955	39902
451	3964	39889
452	3972	39879
453	3981	39866
454	3989	39855
455	3998	39846
456	4007	39835
457	4016	39827
458	4024	39816
459	4033	39807
460	4041	39793
461	4049	39779
462	4058	39769
463	4066	39757
464	4075	39743
465	4083	39730
466	4092	39722
467	4100	39712
468	4109	39705
469	4118	39694
470	4127	39685
471	4135	39673
472	4144	39665
473	4153	39655
474	4161	39643
475	4170	39634
476	4178	39625
477	4187	39614
478	4195	39601
479	4204	39589
480	4212	39577
481	4221	39571
482	4230	39562
483	4238	39552
484	4247	39544
485	4256	39538
486	4265	39527
487	4274	39518
488	4282	39508
489	4291	39502
490	4300	39493
491	4309	39486
492	4318	39484
493	4327	39473
494	4336	39464
495	4345	39461
496	4354	39455
497	4364	39452
498	4374	39455
499	4384	39460
500	4393	39455
501	4402	39447
502	4410	39435
503	4419	39425
504	4428	39417
505	4436	39406
506	4445	39394
507	4453	39383
508	4462	39371
509	4470	39360
510	4479	39348
511	4487	39335
512	4495	39323
513	4504	39312
514	4513	39302
515	4522	39296
516	4530	39283
517	4538	39271
518	4547	39258
519	4555	39248
520	4564	39237
521	4572	39229
522	4581	39219
523	4589	39207
524	4598	39196
525	4607	39187
526	4616	39183
527	4625	39173
528	4634	39166
529	4642	39154
530	4650	39143
531	4658	39128
532	4667	39115
533	4675	39103
534	4684	39092
535	4692	39082
536	4701	39072
537	4710	39063
538	4718	39054
539	4727	39044
540	4736	39035
541	4744	39025
542	4753	39016
543	4762	39006
544	4770	38997
545	4779	38987
546	4787	38976
547	4796	38964
548	4805	38956
549	4814	38951
550	4823	38944
551	4831	38934
552	4840	38924
553	4848	38914
554	4857	38903
555	4866	38894
556	4874	38885
557	4883	38878
558	4892	38868
559	4900	38856
560	4909	38845
561	4918	38837
562	4926	38828
563	4935	38818
564	4943	38807
565	4952	38797
566	4961	38788
567	4970	38780
568	4978	38768
569	4986	38758
570	4995	38746
571	5004	38737
572	5012	38725
573	5020	38714
574	5029	38704
575	5037	38693
576	5046	38682
577	5054	38672
578	5063	38662
579	5071	38651
580	5080	38642
581	5089	38636
582	5098	38629
583	5107	38618
584	5115	38608
585	5124	38597
586	5132	38588
587	5141	38579
588	5150	38570
589	5159	38561
590	5167	38552
591	5176	38541
592	5184	38531
593	5192	38518
594	5201	38506
595	5209	38497
596	5218	38487
